url	judul	tanggal_akses	status	file
https://atcs-dishub.bandung.go.id/	ATCS Dishub Kota Bandung — portal resmi (Tentang, Live CCTV, Peta Kamera, Grafik Pelanggaran)	2026-09-12	OK 200 (halaman tunggal; daftar kamera via AJAX)	Teks_atcs_portal.md; raw_atcs_portal.html; raw_atcs_portal_cctv-maps.js
https://atcs-dishub.bandung.go.id/ajax/lokasi (POST)	Endpoint peta kamera ATCS: 24 lokasi simpang + koordinat	2026-09-12	OK 200 JSON	ATCS_Bandung_lokasi_kamera_portal_2026-09-12.json/.csv
https://atcs-dishub.bandung.go.id/ajax/cctv-list (POST id=…)	Endpoint daftar kamera per lokasi: 46 kamera (SP = kamera simpang, VID = kamera pendekat)	2026-09-12	OK 200 HTML fragmen	ATCS_Bandung_lokasi_kamera_portal_2026-09-12.csv
https://atcs-dishub.bandung.go.id/live, /peta, /grafik	Subhalaman portal ATCS	2026-09-12	404 (semua konten ada di halaman utama)	—
https://data.bandung.go.id/atcs	Dataset ATCS di portal data lama	2026-09-12	GAGAL 400	—
https://data.bandung.go.id/api/3/action/package_search?q=atcs	API CKAN portal data lama	2026-09-12	GAGAL 500	—
https://opendata.bandung.go.id/dataset/kondisi-alat-pemberi-isyarat-lalu-lintas-apill-di-kota-bandung	Open Data Kota Bandung: Kondisi APILL di Kota Bandung (Dishub)	2026-09-12	200 tetapi SPA (Tableau embed), tabel/CSV tidak terambil tanpa JS	raw_opendata_apill.html
https://opendata.bandung.go.id/dataset/lokasi-cctv-atcs-kota-bandung	Open Data Kota Bandung: Lokasi CCTV ATCS Kota Bandung	2026-09-12	200 tetapi SPA, data tidak terambil tanpa JS	raw_opendata_lokasi_cctv_atcs.html
https://katalog.data.go.id/api/3/action/package_search?q=ATCS+bandung	Satu Data Indonesia (CKAN) pencarian ATCS Bandung	2026-09-12	GAGAL timeout (000)	—
https://katalog.data.go.id/dataset/data-lampu-lalu-lintas-terintegrasi-intelligent-transport-system-area-traffic-control-system-it/resource/ba67d47f-847a-4b9e-af78-9180ea681a2c	Satu Data: Data Lampu Lalu Lintas Terintegrasi ITS-ATCS	2026-09-12	GAGAL timeout (000)	—
https://arimbi.bandung.go.id/atcs	Arimbi (Diskominfo) — Lokasi CCTV	2026-09-12	200 tetapi SPA kosong (8 KB, tanpa data)	—
https://dishub.bandung.go.id/read/1702968734-ingin-meminta-rekaman-cctv-atcs-simak-syaratnya	Dishub Bandung: syarat permintaan rekaman CCTV ATCS	2026-09-12	GAGAL 404	—
https://www.detik.com/jabar/berita/d-8007991/cerita-pengendara-nyerah-saat-nunggu-lampu-merah-terlama-di-bandung	detikJabar 12-07-2025: 150 titik APILL (data Dishub 2022), Stopan Kircon merah ±410 dtk	2026-09-12	OK	Teks_detik_150_titik.md
https://jabar.tribunnews.com/metro-bandung/1179284/puluhan-cctv-di-persimpangan-kota-bandung-aktif-siap-dukung-pengungkapan-aksi-begal	Tribun Jabar 23-07-2026: Kadishub Rasdian Setiadi — 150 APILL, 66 simpang ber-CCTV terhubung pusat kendali ATCS, 4 trase	2026-09-12	OK	Teks_tribun_66_simpang.md
https://serbabandung.com/atcs-kota-bandung-pengintai-di-jalan-raya/	SerbaBandung 26-12-2023: ruang kontrol ATCS di Balai Kota Jl. Wastukencana 2; komponen sistem	2026-09-12	OK	Teks_serbabandung_atcs.md
https://gsi-indo.com/2026/04/09/cctv-atcs-bandung/	GSI Indonesia 09-04-2026: artikel populer CCTV ATCS Bandung (57 tautan CCTV publik, fiber optik)	2026-09-12	OK (sumber sekunder, vendor CCTV)	Teks_gsi_cctv_atcs.md
https://bandung.kompas.com/read/2026/04/17/134506978/farhan-bakal-gunakan-lampu-lalu-lintas-dengan-atcs-ai-untuk-bantu-atasi	Kompas 17-04-2026: Wali Kota Farhan — ATCS masih semi-manual, akan di-upgrade AI	2026-09-12	OK	Teks_kompas_atcs_ai_2026.md
https://www.radarbandung.id/2026/04/18/traffic-light-bandung-dinilai-belum-optimal-pemkot-siapkan-sistem-ai-untuk-atasi-kemacetan-di-titik-krusial/	Radar Bandung 18-04-2026: traffic light belum optimal, AI di titik krusial/perbatasan kota	2026-09-12	OK	Teks_radar_ai_titik_krusial_2026.md
https://www.radarbandung.id/2026/05/19/ai-mulai-dipakai-atur-lampu-merah-di-bandung-pemkot-bidik-kemacetan-akhir-pekan-dan-jalur-wisata/	Radar Bandung 19-05-2026: kajian AI-ATCS, prioritas titik rawan macet tahap awal	2026-09-12	OK	Teks_radar_ai_mulai_dipakai_2026.md
https://jabarekspres.com/berita/2026/05/21/kemacetan-bandung-tak-bisa-diselesaikan-pelebaran-jalan-pemkot-siapkan-teknologi-ai/	Jabar Ekspres 21-05-2026: Pemkot siapkan ATCS berbasis AI + PJU digital	2026-09-12	OK	Teks_jabarekspres_ai_2026.md
https://prfmnews.pikiran-rakyat.com/bandung-raya/pr-1310147987/penerapan-sistem-digital-di-bandung-lampu-lalin-berbasis-ai-kerja-petugas-kebersihan-dipantau-cctv	PRFM 18-04-2026: uji coba AI traffic light sejak akhir 2025 di Pasteur (keterangan foto)	2026-09-12	OK	Teks_prfm_ai.md
https://www.ayobandung.id/ayo-netizen/01168568/11122025/ini-titik-titik-kemacetan-di-kota-bandung-menurut-wali-kota-farhan-mana-tata-kelolanya	AyoBandung 11-12-2025: TomTom 2024 Bandung termacet #1 Indonesia; 3 titik utama versi Wali Kota; >2,5 juta kendaraan	2026-09-12	OK (opini/netizen)	Teks_ayobandung_farhan.md
https://www.jabarnews.com/daerah/parah-masalah-kemacetan-kota-bandung-menahun-dishub-jadi-sorotan/	JabarNews (±2022-2023): DPRD — 45 titik persimpangan macet; Kircon, Kopo, M.Toha, Buahbatu, Pasteur, A.Yani, Suci	2026-09-12	OK	Teks_jabarnews_macet.md
https://www.sonora.id/read/424195227/libur-nataru-dishub-kota-bandung-petakan-16-titik-rawan-kemacetan	Sonora Des-2024: 16 titik rawan macet Nataru versi Dishub (Kabid Asep Kuswara)	2026-09-12	OK	Teks_sonora_16_titik.md
https://www.strategi.id/infrastruktur/10414207615/jelang-libur-natal-2024-dan-tahun-baru-2025-dishub-kota-bandung-ungkap-titik-rawan-macet-di-kota-bandung	Strategi.id Des-2024: daftar 16 titik rawan macet Nataru	2026-09-12	OK	Teks_strategi_titik_macet.md
https://www.detik.com/jabar/berita/d-7693106/ini-titik-titik-rawan-kemacetan-saat-libur-nataru-di-kota-bandung	detikJabar Des-2024: 16 titik rawan macet Nataru	2026-09-12	OK	Teks_detik_nataru_16.md
